strain,ens_gene,log_bleach,log_settle
BRC20067,WBGene00000049,3.32911242391351,4.00752996850097
BRC20067,WBGene00000050,5.66578602333312,5.16709236852693
BRC20067,WBGene00000051,5.52031210272812,5.84288391480135
BRC20067,WBGene00000054,6.40333398952799,6.54351180005112
BRC20067,WBGene00000055,5.85064208007894,6.31956418695983
BRC20067,WBGene00000056,4.2104863694315,4.93701225305463
BRC20067,WBGene00000057,6.39495598633738,6.63774689896929
BRC20067,WBGene00000058,5.16695459694872,4.97603386057483
BRC20067,WBGene00000059,7.59934934128699,7.68304504566223
BRC20067,WBGene00000060,5.32233646455034,4.56993853589588
BRC20067,WBGene00000061,4.57035585812833,4.55987870333204
BRC20067,WBGene00000062,3.02037607254481,3.37539298352263
BRC20067,WBGene00000063,15.8026559360089,15.5018941668523
BRC20067,WBGene00000064,14.5152878791781,14.6525734962504
BRC20067,WBGene00000065,15.5589533499127,15.4560956534605
BRC20067,WBGene00000066,15.5305296171809,15.2179062293987
BRC20067,WBGene00000067,14.5016379948004,13.9997063319365
BRC20067,WBGene00000068,8.69181796799043,8.52630762477445
BRC20067,WBGene00000069,5.95937368200219,5.89524480734685
BRC20067,WBGene00000070,8.45367086954128,8.53615279451241
BRC20067,WBGene00000071,8.41687785160854,8.56515445444795
BRC20067,WBGene00000072,8.90182611133523,8.53194947469734
BRC20067,WBGene00000073,9.52035819008316,9.123516180602
BRC20067,WBGene00000074,9.56088464978188,9.57091208081524
BRC20067,WBGene00000075,8.88848626438926,9.16920535121699
BRC20067,WBGene00000079,11.6279029478902,11.7117973728843
BRC20067,WBGene00000080,11.0579697296902,11.1431418296608
BRC20067,WBGene00000081,12.4582625906201,12.2120715499782
BRC20067,WBGene00000082,7.95987362790594,9.15388309488971
BRC20067,WBGene00000083,11.340104359387,10.762395464053
BRC20067,WBGene00000084,8.695374948405,8.30464373460156
BRC20067,WBGene00000085,5.06716135812788,4.93942687843536
BRC20067,WBGene00000086,8.57636056733639,8.39402087134141
BRC20067,WBGene00000088,10.187629429802,9.49834934578232
BRC20067,WBGene00000089,7.55917901870997,7.4840850627431
BRC20067,WBGene00000090,11.4402877835025,11.3751946381639
BRC20067,WBGene00000092,9.99458290402102,9.78100233558967
BRC20067,WBGene00000093,7.55284865308448,7.8542616112727
BRC20067,WBGene00000094,9.15251971738731,9.16698701294436
BRC20067,WBGene00000095,9.52723989011035,9.26864264680911
BRC20067,WBGene00000096,4.7961474870905,4.80683063585928
BRC20067,WBGene00000097,10.3307128892026,10.3492078909905
BRC20067,WBGene00000098,12.3693851086512,12.5499480025497
BRC20067,WBGene00000099,11.099050617834,11.1700619179781
BRC20067,WBGene00000100,12.295026545688,12.1899929743212
BRC20067,WBGene00000101,12.959929179485,12.9738352683346
BRC20067,WBGene00000102,12.639043699706,12.5870995717301
BRC20067,WBGene00000103,9.95025890945072,9.37474131717932
BRC20067,WBGene00000105,10.8581748942504,10.8240720180592
BRC20067,WBGene00000106,11.353790702341,11.4077735433264
BRC20067,WBGene00000107,13.9421464331855,13.5652156178687
BRC20067,WBGene00000109,12.0583695702693,11.6949152326463
BRC20067,WBGene00000110,12.0230859642679,11.7172124679011
BRC20067,WBGene00000111,9.56686671670279,9.1135895401598
BRC20067,WBGene00000112,11.8943968891071,11.6868888769946
BRC20067,WBGene00000113,10.6949411302988,10.6461119951417
BRC20067,WBGene00000114,15.5469262444754,14.8303317483414
BRC20067,WBGene00000115,12.2643977965596,12.0324897792522
BRC20067,WBGene00000116,9.46766875277543,9.48173175695018
BRC20067,WBGene00000117,11.6605945973329,11.4900357990795
BRC20067,WBGene00000118,11.2141723093585,10.7264875024993
BRC20067,WBGene00000120,9.19702023645267,9.38125628072311
BRC20067,WBGene00000121,12.5552133542359,12.6354764243928
BRC20067,WBGene00000122,12.3882184649931,12.5420795920989
BRC20067,WBGene00000123,12.7045260938275,12.6598878286985
BRC20067,WBGene00000133,5.61783615506785,4.7867208478069
BRC20067,WBGene00000134,4.34801255193124,4.24641657847166
BRC20067,WBGene00000135,5.86219311813575,5.58814969523048
BRC20067,WBGene00000136,11.2061158441435,10.2761225098498
BRC20067,WBGene00000137,9.18981446138195,9.27266444945208
BRC20067,WBGene00000138,9.32000795413256,9.2719454170857
BRC20067,WBGene00000139,8.22363798257267,7.86129755727219
